"Pair","Interaction","EINT","ELST","DISP","SAPT2ELST","SAPT2EXCH","SAPT2IND","SAPT2DISP","Shortest_Normalized_Distance"
"C_c2mim_A_dca_P1-d4_56","Cation - Anion",-274.89157,-268.191,-6.70057,-255.8433435,1.51818695,-11.75973864,-7.49635573,1.31320512989706
"C_c2mim_A_dca_P1-d5_43","Cation - Anion",-236.7836,-235.08,-1.7036,-226.0213167,0.20891589,-7.36380526,-2.97977153,1.51247114701735
"C_c2mim_A_dca_P1-d6_3","Cation - Anion",-207.7549939,-207.821,0.0660061,-201.5253817,0.02944688,-4.70048679,-1.30343643,1.71830946473588
"C_c2mim_A_dca_P1-d7_17","Cation - Anion",-184.94579,-185.594,0.64821,-181.1753984,0.00403497,-3.08087145,-0.62250967,1.9367384277936
"C_c2mim_A_dca_P1-d8_04","Cation - Anion",-166.531645,-167.338,0.806355,-164.157983,0.00053794,-2.08097171,-0.32080707,2.16639142289511
"C_c2mim_A_dca_P1-d8_92","Cation - Anion",-151.356667,-152.168,0.811333,-149.810312,7.996e-05,-1.44648481,-0.17619842,2.40405399113801
"C_c2mim_A_dca_P1-d9_79","Cation - Anion",-138.650637,-139.41,0.759363,-137.6096884,1.464e-05,-1.03189542,-0.10202994,2.6475700385817
"C_c2mim_A_dca_P2-d10_09","Cation - Anion",-137.994885,-138.939,0.944115,-137.0202371,8.68e-06,-1.03189891,-0.0959797,2.64094188763006
"C_c2mim_A_dca_P2-d10_98","Cation - Anion",-127.188425,-128.037,0.848575,-126.5270084,5.2e-07,-0.75407403,-0.05814614,2.88354504859928
"C_c2mim_A_dca_P2-d11_86","Cation - Anion",-117.910213,-118.668,0.757787,-117.4536658,-4.3e-07,-0.5624975,-0.03658788,3.13086446556802
"C_c2mim_A_dca_P2-d12_74","Cation - Anion",-109.866491,-110.542,0.675509,-109.5463937,-1.9e-07,-0.42740238,-0.0237902,3.38186558178844
"C_c2mim_A_dca_P2-d13_62","Cation - Anion",-102.830198,-103.433,0.602802,-102.6039191,-4e-08,-0.33015872,-0.01591739,3.63578596480703
"C_c2mim_A_dca_P2-d14_5","Cation - Anion",-96.626703,-97.1662,0.539497,-96.46610662,-1e-08,-0.25883968,-0.01092048,3.89205429022757
"C_c2mim_A_dca_P2-d3_04","Cation - Anion",-368.1249,-309.453,-58.6719,-371.2401799,105.5845126,-39.23033591,-59.59221164,0.825098688750695
"C_c2mim_A_dca_P2-d3_92","Cation - Anion",-323.2739,-304.606,-18.6679,-293.8286388,12.02285552,-19.63592317,-19.70580045,1.1128074918784
"C_c2mim_A_dca_P2-d4_8","Cation - Anion",-273.23994,-267.813,-5.42694,-254.8104703,1.41292752,-11.71809631,-7.05771314,1.33058793121262
